epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4,train_l1_loss,train_mse_loss,val_l1_loss,val_mse_loss,train_l1_loss_ch0,train_l1_loss_ch1,train_l1_loss_ch2,train_l1_loss_ch3,train_l1_loss_ch4,val_l1_loss_ch0,val_l1_loss_ch1,val_l1_loss_ch2,val_l1_loss_ch3,val_l1_loss_ch4,train_mse_loss_ch0,train_mse_loss_ch1,train_mse_loss_ch2,train_mse_loss_ch3,train_mse_loss_ch4,val_mse_loss_ch0,val_mse_loss_ch1,val_mse_loss_ch2,val_mse_loss_ch3,val_mse_loss_ch4
1,0.34754393890624247,0.025293393060564995,0.39105069637298584,0.4051051735877991,0.45771312713623047,0.45855364203453064,0.306481596104304,0.0018000000000000002,11568.078666687012,16.476449489593506,1618.246256736533,4796.569594842121,0.011785444803535938,0.3396064341068268,0.35744544863700867,0.41063055396080017,0.41293883323669434,8.132514832141168e-05,6.137768997420305e-05,2.6324898499296978e-05,8.569860801799223e-05,8.113648800645024e-05,0.00011308732064208016,0.00010037924948846921,2.8315930649114307e-06,6.579854380106553e-05,6.297599611571059e-05,9.343592682853341e-05,8.184638136299327e-05,0.0033720503555798335,8.132514832141168e-05,0.0026383290155402696,6.137768997420305e-05,0.0016157664358615875,0.0036043378058820963,0.003463744418695569,0.004200277384370565,0.003976128995418549,2.6324898499296978e-05,8.569860801799223e-05,8.113648800645024e-05,0.00011308732064208016,0.00010037924948846921,0.0007364944904111326,0.002901906380429864,0.0027932790108025074,0.0034837336279451847,0.0032762361224740744,2.8315930649114307e-06,6.579854380106553e-05,6.297599611571059e-05,9.343592682853341e-05,8.184638136299327e-05
2,0.26056178435972993,0.015960780903697014,0.2875385284423828,0.29636940360069275,0.353095680475235,0.34984588623046875,0.28787754726906617,0.0016200000000000001,11813.232363939285,283.7183632850647,1584.6636570989751,4795.549980403349,0.013699233531951904,0.3187410235404968,0.3260536193847656,0.3934323787689209,0.3874608874320984,5.7165437912165845e-05,5.665377489510017e-05,1.3508351003110874e-05,5.778068953077309e-05,5.518510442925617e-05,8.498116221744567e-05,7.437117164954543e-05,4.8307042561646085e-06,5.950785634922795e-05,5.6656634114915505e-05,8.669328963151202e-05,7.558049401268363e-05,0.002493296860730172,5.7165437912165845e-05,0.002499813846203809,5.665377489510017e-05,0.0010177070507779717,0.0026482369285076857,0.0025304530281573534,0.0032388553954660892,0.003031231230124831,1.3508351003110874e-05,5.778068953077309e-05,5.518510442925617e-05,8.498116221744567e-05,7.437117164954543e-05,0.0008547015604563057,0.002713502151891589,0.00254451553337276,0.0033183027990162373,0.003068050369620323,4.8307042561646085e-06,5.950785634922795e-05,5.6656634114915505e-05,8.669328963151202e-05,7.558049401268363e-05
3,0.2383173254508939,0.014641232788562775,0.2612811028957367,0.2678212821483612,0.32613134384155273,0.3217134177684784,0.276969232883056,0.001458,12530.598518133163,102.45233869552612,1493.9430046306318,4359.413274595509,0.014838317409157753,0.3020710051059723,0.33379846811294556,0.3673534393310547,0.3667841851711273,5.131304832118783e-05,5.408945087895821e-05,1.3127346392138861e-05,5.078948743175715e-05,4.824306961381808e-05,7.717775588389486e-05,6.722753460053355e-05,3.0975070330896415e-06,5.684252391802147e-05,5.4436848586192355e-05,8.31586221465841e-05,7.291189831448719e-05,0.0022807134865595598,5.131304832118783e-05,0.002415205713214042,5.408945087895821e-05,0.0009331376058980823,0.0024060839787125587,0.002286087954416871,0.00299124070443213,0.0027870216872543097,1.3127346392138861e-05,5.078948743175715e-05,4.824306961381808e-05,7.717775588389486e-05,6.722753460053355e-05,0.0008984525338746607,0.0025769949425011873,0.0025750866625458,0.0031172316521406174,0.0029082715045660734,3.0975070330896415e-06,5.684252391802147e-05,5.4436848586192355e-05,8.31586221465841e-05,7.291189831448719e-05
4,0.22326906339368888,0.013240604661405087,0.24356193840503693,0.24884596467018127,0.30798861384391785,0.3027086853981018,0.26557963266174,0.0013122000000000001,12341.667860269547,160.61743474006653,1516.8128175174493,4783.5390917947225,0.013295779936015606,0.2903498709201813,0.3045603334903717,0.35926228761672974,0.3604300618171692,4.737401982806154e-05,5.321863146727992e-05,1.2639067790587433e-05,4.625865039997734e-05,4.3633466702885926e-05,7.195260695880279e-05,6.238637433853e-05,2.9333957627386553e-06,5.5813776270952076e-05,5.30770885234233e-05,8.215284469770268e-05,7.211632328107953e-05,0.0021316056758643957,4.737401982806154e-05,0.0023144741580045473,5.321863146727992e-05,0.000844192283693701,0.0022428352385759354,0.002123850164934993,0.0028248571325093508,0.002622292609885335,1.2639067790587433e-05,4.625865039997734e-05,4.3633466702885926e-05,7.195260695880279e-05,6.238637433853e-05,0.0008008223376236856,0.002485690638422966,0.0023749072570353746,0.003051395993679762,0.002859546570107341,2.9333957627386553e-06,5.5813776270952076e-05,5.30770885234233e-05,8.215284469770268e-05,7.211632328107953e-05
5,0.2115828888623251,0.012446334585547447,0.22994233667850494,0.23423141241073608,0.2937021255493164,0.28759005665779114,0.25917684552570186,0.00118098,12570.459849357605,42.16857099533081,1489.2056634631913,4440.721332428931,0.012424640357494354,0.28191637992858887,0.294574111700058,0.35274964570999146,0.35421913862228394,4.4417250389667765e-05,5.215826960811682e-05,1.2384794899844564e-05,4.2862360714934766e-05,4.016026286990382e-05,6.802143616368994e-05,5.865758430445567e-05,2.6780714961205376e-06,5.439577580546029e-05,5.2201237849658355e-05,8.042903209570795e-05,7.108718273229897e-05,0.0020191982903149134,4.4417250389667765e-05,0.0022614516294173275,5.215826960811682e-05,0.0007943239761516452,0.002117322525009513,0.0019989393185824156,0.0026939865201711655,0.002491422463208437,1.2384794899844564e-05,4.2862360714934766e-05,4.016026286990382e-05,6.802143616368994e-05,5.865758430445567e-05,0.0007995699415914714,0.0024116041604429483,0.0022968193516135216,0.0029950954485684633,0.002804173156619072,2.6780714961205376e-06,5.439577580546029e-05,5.2201237849658355e-05,8.042903209570795e-05,7.108718273229897e-05
6,0.2021998758411242,0.011688901111483574,0.21914327144622803,0.22242805361747742,0.28212904930114746,0.27561068534851074,0.25783066715300085,0.001062882,11858.553358316422,270.33311104774475,1578.6073928546803,4774.765061936717,0.014681046828627586,0.2831745743751526,0.29076653718948364,0.34974387288093567,0.3507879078388214,4.203187348730353e-05,5.2224681533364974e-05,1.21891589515144e-05,4.0091628761729226e-05,3.73563016182743e-05,6.487462087534368e-05,5.5647480621701106e-05,3.257977823523106e-06,5.451511242426932e-05,5.135931132826954e-05,8.10435158200562e-05,7.094759348547086e-05,0.0019275139260377424,4.203187348730353e-05,0.0022675519997797287,5.2224681533364974e-05,0.0007461076602339745,0.0020178782287985086,0.0018981059547513723,0.0025878569576889277,0.0023876032792031765,1.21891589515144e-05,4.0091628761729226e-05,3.73563016182743e-05,6.487462087534368e-05,5.5647480621701106e-05,0.0009061819291673601,0.002416023286059499,0.0022641271352767944,0.002970940200611949,0.002780483802780509,3.257977823523106e-06,5.451511242426932e-05,5.135931132826954e-05,8.10435158200562e-05,7.094759348547086e-05
7,0.19396900052018465,0.01108228974044323,0.2095908671617508,0.21241697669029236,0.271688848733902,0.26506590843200684,0.2508099720497926,0.0009565938,11867.9546957016,282.77822065353394,1577.3568807757676,4776.808949367183,0.011862432584166527,0.2736690938472748,0.2838929295539856,0.34234654903411865,0.34227925539016724,4.003880456245194e-05,5.106156308958513e-05,1.2032724953314755e-05,3.7791658542118967e-05,3.504190317471512e-05,6.219916394911706e-05,5.3128307627048343e-05,2.579687816250953e-06,5.332679575076327e-05,5.0517865020083264e-05,7.942692172946408e-05,6.945674249436706e-05,0.0018477370443967327,4.003880456245194e-05,0.002184735927195288,5.106156308958513e-05,0.0007076965994201601,0.0019298804691061378,0.0018126335926353931,0.0024921512231230736,0.002296317834407091,1.2032724953314755e-05,3.7791658542118967e-05,3.504190317471512e-05,6.219916394911706e-05,5.3128307627048343e-05,0.000752665102481842,0.0023390522692352533,0.002213358646258712,0.0029079990927129984,0.002710616448894143,2.579687816250953e-06,5.332679575076327e-05,5.0517865020083264e-05,7.942692172946408e-05,6.945674249436706e-05
8,0.1866838624069674,0.010438351891934872,0.20135897397994995,0.20365896821022034,0.26235124468803406,0.2556111812591553,0.24810421424955129,0.00086093442,12427.836566209793,323.2399523258209,1506.2959590970204,3895.611852802706,0.011282558552920818,0.2692806124687195,0.28243255615234375,0.3392826318740845,0.3382427990436554,3.831920207383317e-05,5.074077396108502e-05,1.1894431736436673e-05,3.5845809179591015e-05,3.31216178892646e-05,5.9810019592987373e-05,5.092383798910305e-05,2.5937774807971437e-06,5.254938514553942e-05,4.981905658496544e-05,7.96035019448027e-05,6.91378372721374e-05,0.0017758664661378133,3.831920207383317e-05,0.0021469434415455906,5.074077396108502e-05,0.0006664348184131086,0.0018540458986535668,0.001737847225740552,0.00240651099011302,0.002214492065832019,1.1894431736436673e-05,3.5845809179591015e-05,3.31216178892646e-05,5.9810019592987373e-05,5.092383798910305e-05,0.0006935467827133834,0.002301049418747425,0.002192859537899494,0.0028754158411175013,0.002671838039532304,2.5937774807971437e-06,5.254938514553942e-05,4.981905658496544e-05,7.96035019448027e-05,6.91378372721374e-05
9,0.18037562770934568,0.01032036542892456,0.19413863122463226,0.19600650668144226,0.2540320158004761,0.24738138914108276,0.24684629798730215,0.000774840978,11852.130820512772,16.542603969573975,1579.4628226344616,4797.933548985391,0.01375256571918726,0.2656250298023224,0.2787276804447174,0.3401162326335907,0.3360089063644409,3.683649961769536e-05,5.077594390885073e-05,1.180580602522241e-05,3.418631604290567e-05,3.147546522086486e-05,5.7706602092366666e-05,4.9008325731847435e-05,2.734100917223259e-06,5.246417276794091e-05,4.992579488316551e-05,7.96906097093597e-05,6.906497583258897e-05,0.0017186681125927457,3.683649961769536e-05,0.0021681515341158957,5.077594390885073e-05,0.0006598839536309242,0.001787516288459301,0.001672455808147788,0.0023302773479372263,0.0021432198118418455,1.180580602522241e-05,3.418631604290567e-05,3.147546522086486e-05,5.7706602092366666e-05,4.9008325731847435e-05,0.0008730131085030735,0.0022693865466862917,0.0021658651530742645,0.0028783264569938183,0.0026541652623564005,2.734100917223259e-06,5.246417276794091e-05,4.992579488316551e-05,7.96906097093597e-05,6.906497583258897e-05
10,0.17458473585877154,0.009876466356217861,0.18770447373390198,0.1893925815820694,0.24620190262794495,0.2397470921278,0.24502134643395743,0.0006973568802,11792.349763393402,199.09669661521912,1587.4698745886822,4796.686281588933,0.009361508302390575,0.26574090123176575,0.2764259874820709,0.33682307600975037,0.3367549180984497,3.546269092804424e-05,5.0707444456475056e-05,1.1709967111528385e-05,3.271602327004075e-05,3.002003359142691e-05,5.564174716710113e-05,4.722601079265587e-05,2.2728493149770657e-06,5.2743653213838115e-05,4.997794167138636e-05,7.94570441939868e-05,6.908603245392442e-05,0.001662220380482419,3.546269092804424e-05,0.00209564080532485,5.0707444456475056e-05,0.0006313551566563547,0.0017282537883147597,0.0016159064834937453,0.0022584651596844196,0.002077102428302169,1.1709967111528385e-05,3.271602327004075e-05,3.002003359142691e-05,5.564174716710113e-05,4.722601079265587e-05,0.0005697173182852566,0.0022643650881946087,0.0021454556845128536,0.002847854048013687,0.0026508099399507046,2.2728493149770657e-06,5.2743653213838115e-05,4.997794167138636e-05,7.94570441939868e-05,6.908603245392442e-05
